Name,Address
Fit4Less,"7205 Goreway Dr, Mississauga, ON L4T 2T9"
Fit Factory Downtown,"373 King St W, Toronto, ON M5V 1K1"
Hone Fitness Yonge and Isabella,"7 Isabella St, Toronto, ON M4Y 1M7"
Fortis Fitness,"11 Carlaw Ave #1, Toronto, ON M4M 2R6"
Equinox Bay Street,"199 Bay St., Toronto, ON M5L 1E2"
Body+Soul Fitness,"378 Eglinton Ave W, Toronto, ON M5N 1A2"
Academy of Lions,"64 Ossington Ave, Toronto, ON M6J 2Y7"
Dwell Gym,"276 Carlaw Ave #101, Toronto, ON M4M 3L1"
Anytime Fitness,"30 Weston Rd Suite 207, Toronto, ON M6N 0A7"
Adelaide Club ,"First Canadian Place, 1, Toronto, ON M5X 1C8"
Vive Fitness 24/7 Dupont Toronto,"505 Dupont St, Toronto, ON M6G 1Y6"
416 Fitness Club,"390 Queens Quay W Unit 112, Toronto, ON M5V 3A6"
GoodLife Fitness Toronto Richmond and John,"267 Richmond St W, Toronto, ON M5V 3M6"
Vive Fitness 24/7 Bathurst Toronto,"807 Bathurst St, Toronto, ON M5R 3G2"
KX Yorkville,"263 Davenport Rd, Toronto, ON M5R 1J9"
Primal Gym,"388 Carlaw Ave w3, Toronto, ON M4M 2T4"
Planet Fitness,"1245 Dupont St Unit 1, Toronto, ON M6H 2A6"
GoodLife Fitness Toronto Dunfield and Eglinton,"110 Eglinton Ave E, Toronto, ON M4P 1A6"
Pure Fitness Canada York Street,"1 York St 5th Floor, Toronto, ON M5J 0B6"
OBF Gyms,"235 Queen St E 2nd Floor, Toronto, ON M5A 2R6"
Fit4Less,"1911 Finch Ave W, North York, ON M3N 2V2"
Tait McKenzie Centre,"1 Thompson Rd, North York, ON M3J 1P3"
LPS Athletic Centre,"125 Martin Ross Ave #12, North York, ON M3J 2L9"
Toronto Track and Field Centre,"231 Ian MacDonald Blvd, North York, ON M7A 2C5"
Planet Fitness,"1 York Gate Blvd, North York, ON M3N 3A1"
Fit4Less,"2181 Steeles Ave W Unit B1, North York, ON M3J 3N2"
Seneca at York Recreation Centre,"70 The Pond Rd, North York, ON M3J 1P3"
GoodLife Fitness North York Dufferin and Finch,"1000 Finch Ave W, North York, ON M3J 2V5"
York Wrestling Gym,"1 Thompson Rd, North York, ON M3J 1P3"
Sunny Gym,"40 Kodiak Crescent unit 9, North York, ON M3J 3G5"
Fit4Less,"1911 Finch Ave W, North York, ON M3N 2V2"
Make Your Mark Fitness,"877 Alness St #19, North York, ON M3J 2X4"
Grant's MMA and Boxing Gym,"4884 Dufferin St Unit 6, North York, ON M3H 5S8"
YCRC Gym,"453 Sentinel Rd, North York, ON M3J 2T6"
Atlas Boxing and Fitness Centre,"1230 Sheppard Ave W Unit 2, North York, ON M3K 1Z9"
Mayfair Clubs West,"3855 Chesswood Dr, North York, ON M3J 2P6"
Ultimate Calisthenics,"73 Alness St, North York, ON M3J 2H2"
York Muay Thai,"155 Limestone Crescent, North York, ON M3J 2R1"
Fit4Less,"3434 Lawrence Ave E, Scarborough, ON M1H 1A9"
GoodLife Fitness Scarborough Kingston and Eglinton,"3660 Kingston Rd, Scarborough, ON M1M 1R9"
World Gym,"1455 McCowan Rd, Scarborough, ON M1S 5K7"
Snap Fitness,"8130 Sheppard Avenue East Suite 108 and 109, Toronto, ON M1B 3W3"
GoodLife Fitness Scarborough Kennedy and Lawrence,"1141 Kennedy Rd, Scarborough, ON M1P 2K8"
Planet Fitness,"4711 Steeles Ave E, Scarborough, ON M1V 4S5"
Club 1 Studios,"510 Coronation Dr Unit 26, Scarborough, ON M1E 4X6"
Mind-Set Strength & Conditioning,"59 Comstock Rd, Scarborough, ON M1L 2G6"
Fit4Less,"855 Milner Ave, Scarborough, ON M1B 5N6"
Resistance Fitness,"2530 Kingston Rd, Scarborough, ON M1N 1V3"
Fit4Less,"4525 Kingston Rd, Scarborough, ON M1E 2P1"
GoodLife Fitness Scarborough Cedarbrae Mall,"3495 Lawrence Ave E, Scarborough, ON M1H 1B2"
CrossFit Canuck,"721 Progress Ave, Scarborough, ON M1H 2W7"
Afterburn Fitness,"230 Nantucket Blvd #1, Scarborough, ON M1P 2N9"
LA Fitness,"33 William Kitchen Rd Building J Ste 5, Scarborough, ON M1P 5B7"
Fit4Less,"3434 Lawrence Ave E, Scarborough, ON M1H 1A9"
Northern Touch CrossFit,"780 Birchmount Rd Unit #12, Scarborough, ON M1K 1R7"
Strength-N-U,"10 Milner Ave, Scarborough, ON M1S 3P8"
Fit4Less,"1911 Finch Ave W, North York, ON M3N 2V2"
Wynn Fitness North York,"2737 Keele St, North York, ON M3M 2E9"
Planet Fitness,"1 York Gate Blvd, North York, ON M3N 3A1"
Fit4Less,"1911 Finch Ave W, North York, ON M3N 2V2"
Fit4Less,"5150 Yonge St, North York, ON M2N 6L6"
F45 Training North York,"5095 Yonge St, North York, ON M2N 6Z4"
Body + Soul Fitness,"1875 Leslie St Unit 15, North York, ON M3B 2M5"
LA Fitness,"4861 Yonge St, Toronto, ON M2N 5X2"
Orangetheory Fitness,"1881 Steeles Ave W #3, North York, ON M3H 5Y4"
GoodLife Fitness North York Dufferin and Finch,"1000 Finch Ave W, North York, ON M3J 2V5"
CrossFit AIO/All in One Strength & Conditioning,"1214 Caledonia Rd, North York, ON M6A 2W5"
GoodLife Fitness North York Victoria Terrace,"1448 Lawrence Ave E, North York, ON M4A 2V6"
APEX Training Centre,"300 Bridgeland Ave, North York, ON M6A 1Z4"
GoodLife Fitness North York York Mills Centre,"4025 Yonge St, North York, ON M2P 2E3"
GoodLife Fitness North York Sheppard and Consumers,"2235 Sheppard Ave E, North York, ON M2J 5B5"
QUAD FIT CLUB,"25 Scarsdale Rd Unit 3, North York, ON M3B 2R2"
Fit4Less,"2181 Steeles Ave W Unit B1, North York, ON M3J 3N2"
GoodLife Fitness North York Yonge and Finch,"5650 Yonge St, North York, ON M2N 4E9"
Fit4Less,"6464 Yonge St, North York, ON M2M 3X7"
Orangetheory Fitness,"861 York Mills Rd, North York, ON M3B 1Y2"
GoodLife Fitness North York Madison Centre,"4950 Yonge St, North York, ON M2N 6K1"
Life Time,"3055 Pepper Mill Ct, Mississauga, ON L5L 4X5"
Fit4Less,"35 Worthington Ave, Brampton, ON L7A 2Y7"
Planet Fitness,"180 Queens Plate Dr, Toronto, ON M9W 6Y9"
National Gym & Fitness Centre Inc,"220 Humberline Dr #12b, Etobicoke, ON M9W 5Y4"
Fitness 365,"40 Ronson Dr, Etobicoke, ON M9W 1B3"
SuzyMari Health & Fitness Studio,"100 Westmore Dr #27, Etobicoke, ON M9V 5C3"
Humber College Fitness Centre North Campus,"Arboretum Blvd, Etobicoke, ON M9W 5L7"
GoodLife Fitness Toronto Pearson Terminal One,"6135 Silver Dart Dr Terminal 1, Arrivals Level, Gate F, Mississauga, ON L5P 1B2"
Fit4Less,"7205 Goreway Dr, Mississauga, ON L4T 2T9"
Pursuit OCR,"75 Westmore Dr, Etobicoke, ON M9V 3Y6"
Bodies 2 Envy Fitness Studio,"100 Hanlan Rd, Woodbridge, ON L4L 4V8"
Landmark Athletics,"37 Racine Rd Unit 3, Etobicoke, ON M9W 2Z4"
Etobicoke Gymnastics Club,"1186 Martin Grove Rd, Etobicoke, ON M9W 5M9"
Wynn Fitness North York,"2737 Keele St, North York, ON M3M 2E9"
LA Fitness,"8555 Woodbine Ave, Markham, ON L3R 4X9"
Albion Pool and Health Club,"1485 Albion Rd, Etobicoke, ON M9V 1B2"
Life Time,"3055 Pepper Mill Ct, Mississauga, ON L5L 4X5"
Fit4Less,"35 Worthington Ave, Brampton, ON L7A 2Y7"
Vive Fitness 24/7 Lakeshore Etobicoke,"2873 Lake Shore Blvd W, Toronto, ON M8V 1J2"
Fitness 365,"40 Ronson Dr, Etobicoke, ON M9W 1B3"
TORQUE BARBELL,"253 Norseman St, Etobicoke, ON M8Z 2R4"
