event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-2022100073,D55,2022-01-13 5:00,2022-01-16 5:00,Commercial,15,Assault,South Riverdale
GO-2022100123,D32,2022-01-16 5:00,2022-01-16 5:00,Other,11,Assault,Downsview-Roding-CFB
GO-2022100230,D32,2022-01-16 5:00,2022-01-16 5:00,Commercial,4,Break and Enter,Clanton Park
GO-2022100329,D52,2022-01-12 5:00,2022-01-17 5:00,Outside,4,Assault,Waterfront Communities-The Island
GO-2022100541,D32,2022-01-14 5:00,2022-01-16 5:00,Apartment,15,Assault,Newtonbrook West
GO-2022100772,D14,2022-01-16 5:00,2022-01-16 5:00,House,13,Assault,South Parkdale
GO-2022100992,D31,2022-01-16 5:00,2022-01-16 5:00,Outside,14,Assault,Downsview-Roding-CFB
GO-2022101408,D14,2022-01-16 5:00,2022-01-16 5:00,Transit,15,Assault,Dovercourt-Wallace Emerson-Junction
GO-2022101521,D41,2022-01-16 5:00,2022-01-16 5:00,Transit,15,Robbery,Clairlea-Birchmount
GO-2022101698,D33,2022-01-16 5:00,2022-01-16 5:00,Apartment,16,Assault,Parkwoods-Donalda
GO-2022101876,D14,2022-01-16 5:00,2022-01-16 5:00,Apartment,16,Assault,Kensington-Chinatown
GO-20221019,D52,2022-01-01 5:00,2022-01-01 5:00,Apartment,3,Assault,Kensington-Chinatown
GO-2022102021,D52,2022-01-16 5:00,2022-01-16 5:00,Transit,16,Assault,Bay Street Corridor
GO-2022102170,D54,2022-01-16 5:00,2022-01-16 5:00,House,17,Assault,Woodbine-Lumsden
GO-2022102585,D14,2022-01-16 5:00,2022-01-16 5:00,Apartment,18,Assault,Waterfront Communities-The Island
GO-2022102695,D32,2022-01-08 5:00,2022-01-16 5:00,House,0,Break and Enter,Newtonbrook East
GO-2022102803,D13,2022-01-16 5:00,2022-01-16 5:00,Apartment,19,Assault,Wychwood
GO-2022102818,D13,2022-01-16 5:00,2022-01-16 5:00,Outside,19,Robbery,Yorkdale-Glen Park
GO-202210286,D51,2022-01-02 5:00,2022-01-02 5:00,Apartment,18,Assault,North St.James Town
GO-2022102874,D13,2022-01-16 5:00,2022-01-16 5:00,Other,18,Assault,Yorkdale-Glen Park
GO-2022102905,D52,2022-01-16 5:00,2022-01-16 5:00,Transit,19,Assault,Bay Street Corridor
GO-2022102983,D31,2022-01-15 5:00,2022-01-16 5:00,Apartment,21,Break and Enter,York University Heights
GO-2022103028,D23,2022-01-16 5:00,2022-01-16 5:00,House,19,Assault,Mount Olive-Silverstone-Jamestown
GO-202210304,D32,2021-12-28 5:00,2022-01-02 5:00,Transit,7,Assault,Bridle Path-Sunnybrook-York Mills
GO-2022103070,D54,2022-01-16 5:00,2022-01-16 5:00,Apartment,20,Assault,Taylor-Massey
GO-2022103072,D53,2022-01-16 5:00,2022-01-16 5:00,Transit,19,Robbery,Rosedale-Moore Park
GO-2022103388,D41,2022-01-16 5:00,2022-01-16 5:00,Other,21,Assault,Clairlea-Birchmount
